colInd,toPredict,modelName,args,x,mae
"Petroleum Electric Power Sector CO2 Emissions",5,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",6,1.27
"Geothermal Energy Electric Power Sector CO2 Emissions",0,LR,"{}",4,0.00
"Geothermal Energy Electric Power Sector CO2 Emissions",1,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",6,0.00
"Geothermal Energy Electric Power Sector CO2 Emissions",2,LR,"{}",4,0.00
"Geothermal Energy Electric Power Sector CO2 Emissions",3,LR,"{}",5,0.00
"Geothermal Energy Electric Power Sector CO2 Emissions",4,LR,"{}",4,0.00
"Geothermal Energy Electric Power Sector CO2 Emissions",5,LR,"{}",5,0.00
"Non-Biomass Waste Electric Power Sector CO2 Emissions",0,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,0.02
"Non-Biomass Waste Electric Power Sector CO2 Emissions",1,SVM,"{'C': 1.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,0.02
"Non-Biomass Waste Electric Power Sector CO2 Emissions",2,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,0.02
"Non-Biomass Waste Electric Power Sector CO2 Emissions",3,SVM,"{'C': 0.5, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,0.02
"Non-Biomass Waste Electric Power Sector CO2 Emissions",4,SVM,"{'C': 4.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,0.02
"Non-Biomass Waste Electric Power Sector CO2 Emissions",5,SVM,"{'C': 0.5, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",4,0.02
"Total Energy Electric Power Sector CO2 Emissions",0,LR,"{}",4,6.14
"Total Energy Electric Power Sector CO2 Emissions",1,LR,"{}",5,6.76
"Total Energy Electric Power Sector CO2 Emissions",2,SVM,"{'C': 0.5, 'max_iter': 100000, 'random_state': 42, 'tol': 0.4}",6,5.93
"Total Energy Electric Power Sector CO2 Emissions",3,SVM,"{'C': 2.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.2}",4,5.82
"Total Energy Electric Power Sector CO2 Emissions",4,SVM,"{'C': 2.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.2}",4,5.59
"Total Energy Electric Power Sector CO2 Emissions",5,SVM,"{'C': 2.0, 'max_iter': 100000, 'random_state': 42, 'tol': 0.1}",6,6.50
